TIME 	 RK_theta	 Small_theta	
0.0000000000	 89.9988690266	 90.0000000000	
0.0020064093	 89.9954761066	 89.9982234771	
0.0040128186	 89.9898212398	 89.9928939783	
0.0060192279	 89.9819044264	 89.9840117143	
0.0080256372	 89.9717256663	 89.9715770355	
0.0100320465	 89.9592849599	 89.9555904329	
0.0120384558	 89.9445823073	 89.9360525377	
0.0140448650	 89.9276177091	 89.9129641210	
0.0160512743	 89.9083911660	 89.8863260945	
0.0180576836	 89.8869026792	 89.8561395098	
0.0200640929	 89.8631522500	 89.8224055585	
0.0220705022	 89.8371398807	 89.7851255725	
0.0240769115	 89.8088655739	 89.7443010235	
0.0260833208	 89.7783293330	 89.6999335231	
0.0280897301	 89.7455311624	 89.6520248229	
0.0300961394	 89.7104710675	 89.6005768143	
0.0321025487	 89.6731490549	 89.5455915283	
0.0341089580	 89.6335651325	 89.4870711357	
0.0361153673	 89.5917193098	 89.4250179468	
0.0381217766	 89.5476115980	 89.3594344113	
0.0401281859	 89.5012420101	 89.2903231183	
0.0421345951	 89.4526105615	 89.2176867963	
0.0441410044	 89.4017172695	 89.1415283127	
0.0461474137	 89.3485621544	 89.0618506742	
0.0481538230	 89.2931452391	 88.9786570264	
0.0501602323	 89.2354665494	 88.8919506536	
0.0521666416	 89.1755261147	 88.8017349787	
0.0541730509	 89.1133239678	 88.7080135634	
0.0561794602	 89.0488601454	 88.6107901076	
0.0581858695	 88.9821346883	 88.5100684496	
0.0601922788	 88.9131476418	 88.4058525656	
0.0621986881	 88.8418990560	 88.2981465699	
0.0642050974	 88.7683889860	 88.1869547146	
0.0662115067	 88.6926174922	 88.0722813893	
0.0682179159	 88.6145846412	 87.9541311211	
0.0702243252	 88.5342905051	 87.8325085745	
0.0722307345	 88.4517351630	 87.7074185508	
0.0742371438	 88.3669187006	 87.5788659884	
0.0762435531	 88.2798412109	 87.4468559623	
0.0782499624	 88.1905027945	 87.3113936841	
0.0802563717	 88.0989035599	 87.1724845016	
0.0822627810	 88.0050436245	 87.0301338986	
0.0842691903	 87.9089231140	 86.8843474950	
0.0862755996	 87.8105421640	 86.7351310461	
0.0882820089	 87.7099009194	 86.5824904427	
0.0902884182	 87.6069995355	 86.4264317109	
0.0922948275	 87.5018381784	 86.2669610116	
0.0943012368	 87.3944170253	 86.1040846403	
0.0963076460	 87.2847362650	 85.9378090272	
0.0983140553	 87.1727960986	 85.7681407365	
0.1003204646	 87.0585967397	 85.5950864666	
0.1023268739	 86.9421384153	 85.4186530491	
0.1043332832	 86.8234213660	 85.2388474495	
0.1063396925	 86.7024458467	 85.0556767662	
0.1083461018	 86.5792121272	 84.8691482304	
0.1103525111	 86.4537204925	 84.6792692059	
0.1123589204	 86.3259712437	 84.4860471888	
0.1143653297	 86.1959646985	 84.2894898073	
0.1163717390	 86.0637011916	 84.0896048211	
0.1183781483	 85.9291810754	 83.8864001212	
0.1203845576	 85.7924047208	 83.6798837299	
0.1223909668	 85.6533725177	 83.4700638001	
0.1243973761	 85.5120848754	 83.2569486151	
0.1264037854	 85.3685422235	 83.0405465883	
0.1284101947	 85.2227450127	 82.8208662629	
0.1304166040	 85.0746937151	 82.5979163116	
0.1324230133	 84.9243888249	 82.3717055359	
0.1344294226	 84.7718308595	 82.1422428663	
0.1364358319	 84.6170203598	 81.9095373616	
0.1384422412	 84.4599578909	 81.6735982087	
0.1404486505	 84.3006440430	 81.4344347219	
0.1424550598	 84.1390794322	 81.1920563431	
0.1444614691	 83.9752647008	 80.9464726410	
0.1464678784	 83.8092005184	 80.6976933107	
0.1484742877	 83.6408875828	 80.4457281736	
0.1504806969	 83.4703266202	 80.1905871770	
0.1524871062	 83.2975183864	 79.9322803932	
0.1544935155	 83.1224636676	 79.6708180199	
0.1564999248	 82.9451632808	 79.4062103791	
0.1585063341	 82.7656180752	 79.1384679172	
0.1605127434	 82.5838289322	 78.8676012039	
0.1625191527	 82.3997967671	 78.5936209329	
0.1645255620	 82.2135225293	 78.3165379203	
0.1665319713	 82.0250072033	 78.0363631048	
0.1685383806	 81.8342518095	 77.7531075474	
0.1705447899	 81.6412574053	 77.4667824304	
0.1725511992	 81.4460250857	 77.1773990574	
0.1745576085	 81.2485559841	 76.8849688529	
0.1765640177	 81.0488512735	 76.5895033615	
0.1785704270	 80.8469121671	 76.2910142477	
0.1805768363	 80.6427399191	 75.9895132952	
0.1825832456	 80.4363358262	 75.6850124068	
0.1845896549	 80.2277012276	 75.3775236038	
0.1865960642	 80.0168375067	 75.0670590252	
0.1886024735	 79.8037460917	 74.7536309276	
0.1906088828	 79.5884284563	 74.4372516847	
0.1926152921	 79.3708861212	 74.1179337866	
0.1946217014	 79.1511206544	 73.7956898393	
0.1966281107	 78.9291336728	 73.4705325645	
0.1986345200	 78.7049268425	 73.1424747990	
0.2006409293	 78.4785018803	 72.8115294937	
0.2026473386	 78.2498605543	 72.4777097140	
0.2046537478	 78.0190046852	 72.1410286384	
0.2066601571	 77.7859361471	 71.8014995585	
0.2086665664	 77.5506568683	 71.4591358783	
0.2106729757	 77.3131688327	 71.1139511138	
0.2126793850	 77.0734740804	 70.7659588923	
0.2146857943	 76.8315747092	 70.4151729519	
0.2166922036	 76.5874728751	 70.0616071410	
0.2186986129	 76.3411707934	 69.7052754179	
0.2207050222	 76.0926707401	 69.3461918498	
0.2227114315	 75.8419750527	 68.9843706128	
0.2247178408	 75.5890861308	 68.6198259910	
0.2267242501	 75.3340064381	 68.2525723760	
0.2287306594	 75.0767385024	 67.8826242662	
0.2307370686	 74.8172849174	 67.5099962667	
0.2327434779	 74.5556483434	 67.1347030882	
0.2347498872	 74.2918315083	 66.7567595465	
0.2367562965	 74.0258372088	 66.3761805622	
0.2387627058	 73.7576683116	 65.9929811600	
0.2407691151	 73.4873277541	 65.6071764679	
0.2427755244	 73.2148185456	 65.2187817168	
0.2447819337	 72.9401437687	 64.8278122399	
0.2467883430	 72.6633065796	 64.4342834720	
0.2487947523	 72.3843102101	 64.0382109488	
